KraterNr. mit Profilbuchstabe, Vegetation, Latitude(Tiefpunkt), Longitude(Tiefpunkt), Hillslope Azimuth, Kraterradius (m), Höhenunterschied (m), Wasserscheide erkennbar?, r1(D 1D)(m), t1(D 1D)(a), t2(D 1D)(a), D (1D)(m^2/a),   Volume to ref Margin (m3), r1 (ref 2D)(m), t1(ref 2D)(a), t2 (ref 2D)(a), D 2D 0.9 to ref margin (m^2/a), D 2D from fit to ref margin (m^2/a), Volume to devide (m3), r1 (devide 2D)(m), t1(devide 2D)(a), t2(devide 2D) (a), D 2D 0.9 to devide (m^2/a), D 2D from fit to devide (m^2/a)
5a,Waldlichtung,  50.77887450, 6.90166538 ,  326.65029943804586 ,  3.197978883708789 ,  0.8091461181640511 ,    ,  1.3889570760019434 ,  18.134507808524233 ,  96.13450780852423 ,  0.0026985722007580814 ,  3.8403850760973373 ,  1.1841740636731148 ,  12.394265207395646 ,  90.39426520739565 ,  0.010728778669823061 ,  0.006052648040171539 ,  4.060663191694618 ,  1.1481561499249295 ,  11.541891686562645 ,  89.54189168656265 ,  0.011230607922493798 ,  0.003843284755602767
5a,Waldlichtung, 50.77887450, 6.90166538 ,  146.65029943804583 ,  5.329964806181314 ,  0.7562905447824448 ,    ,  3.6349625157500483 ,  67.82306522877356 ,  145.82306522877354 ,  0.0026985722007580827 ,  10.411873895822914 ,  3.839745528078877 ,  84.15766846789882 ,  162.15766846789882 ,  0.010728778669823068 ,  0.0077460863273751 ,  11.821797643479922 ,  3.875763441827062 ,  87.52385305711424 ,  165.52385305711425 ,  0.011230607922493802 ,  0.006279299283037949
5b,Waldlichtung,  50.77887579, 6.90166856 ,  270.8069294537444 ,  5.404162413991436 ,  1.1785727364677143 ,    ,  3.459742235315544 ,  54.1710051786237 ,  132.17100517862372 ,  0.003210190690477498 ,  9.453923518574472 ,  2.9671069173888607 ,  33.65923652905406 ,  111.65923652905406 ,  0.015452073406144106 ,  0.006668818261787822 ,  10.275721042785138 ,  2.621412530026513 ,  24.000208615278765 ,  102.00020861527877 ,  0.01433075944174962 ,  0.006482015729130029
5b,Waldlichtung, 50.77887579, 6.90166856 ,  90.8069294537444 ,  5.404162413991438 ,  0.9480028424944749 ,  True ,  2.1849586568732673 ,  15.24197002149116 ,  93.24197002149116 ,  0.003210190690477497 ,  14.877411179474931 ,  2.6775939747999504 ,  25.378262683438862 ,  103.37826268343886 ,  0.01545207340614411 ,  0.01440320920604122 ,  20.353018683356055 ,  3.023288362162298 ,  35.53211842484512 ,  113.53211842484512 ,  0.014330759441749623 ,  0.013546049059909842
5c,Waldlichtung,  50.77888000, 6.90167050 ,  30.846587411925412 ,  4.1467170772705835 ,  1.126576450893026 ,  True ,  2.7185448928581164 ,  58.7935841926208 ,  136.7935841926208 ,  0.003344478247937288 ,  8.093517768930163 ,  2.429900414246917 ,  40.78918706217507 ,  118.78918706217507 ,  0.0106173691754553 ,  0.0063435590963168455 ,  12.386127781860173 ,  2.775534113720666 ,  63.30601530980203 ,  141.30601530980204 ,  0.012729273304067456 ,  0.00640574164068061
5c,Waldlichtung, 50.77888000, 6.90167050 ,  210.8465874119254 ,  4.146717077270583 ,  1.2171500069754586 ,    ,  2.5360902961243803 ,  46.609041083928254 ,  124.60904108392825 ,  0.003344478247937287 ,  18.563909969950977 ,  2.8247347747355795 ,  67.53067366292579 ,  145.53067366292578 ,  0.0106173691754553 ,  0.008987005821859134 ,  18.563909969950977 ,  2.4791010752618305 ,  43.385789410167014 ,  121.385789410167 ,  0.012729273304067453 ,  0.01013086472707151
6a,Wald,  50.78082604, 6.89921649 ,  358.484592099887 ,  5.076244654890383 ,  0.9931448800224132 ,    ,  3.5401229402214422 ,  73.85526218137738 ,  151.85526218137738 ,  0.003306812195205122 ,  11.785094287885531 ,  3.339930531316451 ,  59.54240953572766 ,  137.54240953572764 ,  0.010540251851133055 ,  0.007974684558871152 ,  13.572649967243347 ,  3.39777445153078 ,  63.31121102543539 ,  141.3112110254354 ,  0.010462710754453229 ,  0.007829204754127825
6a,Wald, 50.78082604, 6.89921649 ,  178.484592099887 ,  6.091493585868459 ,  1.2945700509208962 ,    ,  4.551250874048458 ,  98.56287349073388 ,  176.56287349073386 ,  0.003306812195205125 ,  22.324512578420677 ,  4.751443282953449 ,  121.19303774544993 ,  199.19303774544994 ,  0.010540251851133053 ,  0.007710665679692353 ,  24.073301156619532 ,  4.69359936273912 ,  113.97469343349395 ,  191.97469343349394 ,  0.010462710754453236 ,  0.007807195039166267
6b,Wald,  50.78082435, 6.89921131 ,  316.29216688659545 ,  5.0513319924365625 ,  0.9565699986049765 ,  True ,  3.8122995006794564 ,  103.22246831972576 ,  181.22246831972575 ,  0.002125395917308312 ,  11.460634058385013 ,  3.8222710555961035 ,  104.48745550798027 ,  182.48745550798026 ,  0.007579309061323514 ,  0.006032995313745691 ,  15.706968184891748 ,  3.740050345060889 ,  94.64471078800422 ,  172.6447107880042 ,  0.00757998703465285 ,  0.007265966987526533
6b,Wald, 50.78082435, 6.89921131 ,  136.29216688659545 ,  4.041065593949249 ,  1.2494245256696672 ,    ,  3.1321252649491527 ,  117.36134786088947 ,  195.36134786088945 ,  0.002125395917308312 ,  15.064294186179096 ,  3.1221537100325056 ,  115.5103894442621 ,  193.5103894442621 ,  0.007579309061323502 ,  0.005874660056301161 ,  16.471580329547127 ,  3.2043744205677203 ,  132.11470595407002 ,  210.11470595407002 ,  0.0075799870346528525 ,  0.005596095850988832
